,time,SOC,load,load Batt,load EVs,cost,reward,rewardTrain,newEVs,price,invalidAction
2023-01-01 00:00:00+00:00,1,0,0.0,0.0,0,0.0,0.0,0.0,0,178.25868,False
2023-01-01 00:15:00+00:00,2,0,0.0,0.0,0,0.0,0.0,0.0,0,189.6809,False
2023-01-01 00:30:00+00:00,3,0,0.0,0.0,0,0.0,0.0,0.0,0,189.77493,False
2023-01-01 00:45:00+00:00,4,0,0.0,0.0,0,0.0,0.0,0.0,0,187.67822,False
2023-01-01 01:00:00+00:00,5,0,0.0,0.0,0,0.0,0.0,0.0,0,179.11215,False
2023-01-01 01:15:00+00:00,6,0,0.0,0.0,0,0.0,0.0,0.0,0,179.5693,False
2023-01-01 01:30:00+00:00,7,0,0.0,0.0,0,0.0,0.0,0.0,0,173.31198,False
2023-01-01 01:45:00+00:00,8,0,0.0,0.0,0,0.0,0.0,0.0,0,169.23067,False
2023-01-01 02:00:00+00:00,9,0,0.0,0.0,0,0.0,0.0,0.0,0,167.40706,False
2023-01-01 02:15:00+00:00,10,0,0.0,0.0,0,0.0,0.0,0.0,0,185.11357,False
2023-01-01 02:30:00+00:00,11,0,0.0,0.0,0,0.0,0.0,0.0,1,163.12053,False
2023-01-01 02:45:00+00:00,12,0,0.13869608950442883,0.0,0.13869608950442883,5.1421055073431345,5.260101205489028,5.260101205489028,0,148.2985,False
2023-01-01 03:00:00+00:00,13,0,0.0,0.0,0,0.0,0.0,0.0,0,132.16742,False
2023-01-01 03:15:00+00:00,14,0,0.0,0.0,0,0.0,0.0,0.0,0,130.97961,False
2023-01-01 03:30:00+00:00,15,0,0.0,0.0,0,0.0,0.0,0.0,0,118.71764,False
2023-01-01 03:45:00+00:00,16,0,0.0,0.0,0,0.0,0.0,0.0,0,117.74795,False
2023-01-01 04:00:00+00:00,17,0,0.0,0.0,0,0.0,0.0,0.0,0,131.27455,False
2023-01-01 04:15:00+00:00,18,0,0.0,0.0,0,0.0,0.0,0.0,0,125.13458,False
2023-01-01 04:30:00+00:00,19,0,0.0,0.0,0,0.0,0.0,0.0,0,116.53013,False
2023-01-01 04:45:00+00:00,20,0,0.0,0.0,0,0.0,0.0,0.0,0,111.27666,False
2023-01-01 05:00:00+00:00,21,0,0.0,0.0,0,0.0,0.0,0.0,0,137.59154,False
2023-01-01 05:15:00+00:00,22,0,0.0,0.0,0,0.0,0.0,0.0,0,128.16092,False
2023-01-01 05:30:00+00:00,23,0,0.0,0.0,0,0.0,0.0,0.0,0,138.4811,False
2023-01-01 05:45:00+00:00,24,0,0.0,0.0,0,0.0,0.0,0.0,0,125.41008,False
2023-01-01 06:00:00+00:00,25,0,0.0,0.0,0,0.0,0.0,0.0,0,136.3402,False
2023-01-01 06:15:00+00:00,26,0,0.0,0.0,0,0.0,0.0,0.0,0,129.63095,False
2023-01-01 06:30:00+00:00,27,0,0.0,0.0,0,0.0,0.0,0.0,0,129.77701,False
2023-01-01 06:45:00+00:00,28,0,0.0,0.0,0,0.0,0.0,0.0,0,129.54166,False
2023-01-01 07:00:00+00:00,29,0,0.0,0.0,0,0.0,0.0,0.0,0,128.18578,False
